City_Id,City_Name,City_Name_Ar,Zone_Id,Zone_Name,Zone_Name_Ar,District_Id,District_Name,District_Name_Ar,Pickup_Availability,DropOff_Availability,Zone_Hub_Code,District_Hub_Code,District_FM_Hub_Code
g3GchTSmCgR2JynsJ,Behira,البحيره,EYUtimX4oqi,Kom Hamada,كوم حماده,VSV9uJ1pfZp,Saft ElEnab,صفط العنب,TRUE,TRUE,BEHIRA,BEHIRA,BEHIRA
g3GchTSmCgR2JynsJ,Behira,البحيره,EYUtimX4oqi,Kom Hamada,كوم حماده,gp6_HstLjsr,Ezbet Hussein Ali Hamza,عزبه حسين علي حمزه,TRUE,TRUE,BEHIRA,BEHIRA,BEHIRA
g3GchTSmCgR2JynsJ,Behira,البحيره,EYUtimX4oqi,Kom Hamada,كوم حماده,i9MYQgn4qG-,Kafr Bawlen,كفر بولين,TRUE,TRUE,BEHIRA,BEHIRA,BEHIRA
g3GchTSmCgR2JynsJ,Behira,البحيره,EYUtimX4oqi,Kom Hamada,كوم حماده,U7RynxJAsZc,Kafr Dammatyawa,كفر دمتيوه,TRUE,TRUE,BEHIRA,BEHIRA,BEHIRA
g3GchTSmCgR2JynsJ,Behira,البحيره,EYUtimX4oqi,Kom Hamada,كوم حماده,i6K_muXgRKK,Kafr Ziadah,كفر زياده,TRUE,TRUE,BEHIRA,BEHIRA,BEHIRA
g3GchTSmCgR2JynsJ,Behira,البحيره,EYUtimX4oqi,Kom Hamada,كوم حماده,2vQzukO0oYU,Mliha,مليحه,TRUE,TRUE,BEHIRA,BEHIRA,BEHIRA
g3GchTSmCgR2JynsJ,Behira,البحيره,EYUtimX4oqi,Kom Hamada,كوم حماده,8hHDSp8QCtO,Monshaat Abu Raya,منشاه ابو ريه,TRUE,TRUE,BEHIRA,BEHIRA,BEHIRA
g3GchTSmCgR2JynsJ,Behira,البحيره,EYUtimX4oqi,Kom Hamada,كوم حماده,0On7ex41CrY,Monshaat ElGorbagi,منشاه الشوربجي,TRUE,TRUE,BEHIRA,BEHIRA,BEHIRA
g3GchTSmCgR2JynsJ,Behira,البحيره,EYUtimX4oqi,Kom Hamada,كوم حماده,e4zwoLYnmkY,Monshaat Rady,منشاه راضي,TRUE,TRUE,BEHIRA,BEHIRA,BEHIRA
g3GchTSmCgR2JynsJ,Behira,البحيره,EYUtimX4oqi,Kom Hamada,كوم حماده,udCiwBClth_,Monshaat Ali Mahana,منشاه علي مهنا,TRUE,TRUE,BEHIRA,BEHIRA,BEHIRA
